Facility ID,Facility Name,State,Region,Hospital Ownership,Hospital Type,Experience_Star,Readmission_Rate,HAI_SIR_Avg,MSPB,Quality,Value_Score,Focus_Flag
250031,MERIT HEALTH RIVER REGION,MS,South,Proprietary,Acute Care Hospitals,2.0,16.0,0.063,1.07,60.82365656260996,56.844538843560706,Low value (bottom 20%)
260077,MERCY HOSPITAL SOUTH,MO,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.8,0.7975,1.02,58.00859598853868,56.87117253778302,Low value (bottom 20%)
250104,ANDERSON REGIONAL MEDICAL CENTER,MS,South,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.7,0.5435999999999999,1.05,59.72352083647515,56.87954365378586,Low value (bottom 20%)
310108,JFK UNIVERSITY MEDICAL CENTER,NJ,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.5,0.3784,1.08,61.43115668828231,56.88070063729843,Low value (bottom 20%)
330059,MONTEFIORE MEDICAL CENTER,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.5,0.8263333333333333,1.04,59.1794433552841,56.9033109185424,Low value (bottom 20%)
250096,CROSSGATES RIVER OAKS HOSPITAL,MS,South,Proprietary,Acute Care Hospitals,,15.1,,0.97,55.26315789473685,56.97232772653284,Low value (bottom 20%)
150181,ASCENSION ST VINCENT FISHERS,IN,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,3.0,15.2,,1.0,56.97368421052632,56.97368421052632,Low value (bottom 20%)
250168,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA,MS,South,Government - State,Acute Care Hospitals,4.0,15.2,1.5685,1.23,70.09777308601015,56.99005941952045,Low value (bottom 20%)
450083,UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,TX,South,Proprietary,Acute Care Hospitals,2.0,15.4,0.5528,1.07,60.993062886442466,57.00286251069389,Low value (bottom 20%)
490048,LEWISGALE MEDICAL CENTER,VA,South,Proprietary,Acute Care Hospitals,2.0,15.5,0.6862,1.05,59.88387875131955,57.03226547744719,Low value (bottom 20%)
340010,UNC HEALTH CARE WAYNE,NC,South,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.3,1.8810000000000002,0.96,54.75493892323933,57.036394711707636,Low value (bottom 20%)
360211,TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST,OH,Midwest,Voluntary non-profit - Other,Acute Care Hospitals,2.0,15.7,0.7346,1.03,58.763384104961546,57.051829228118,Low value (bottom 20%)
390184,PENN HIGHLANDS CONNELLSVILLE,PA,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,,15.7,,0.83,47.36842105263159,57.070386810399505,Low value (bottom 20%)
390142,JEFFERSON EINSTEIN PHILADELPHIA HOSPITAL,PA,Northeast,Voluntary non-profit - Other,Acute Care Hospitals,2.0,15.4,0.7577999999999999,1.05,59.962549640577095,57.107190133882945,Low value (bottom 20%)
230244,GARDEN CITY HOSPITAL,MI,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,2.0,16.3,0.08475,1.04,59.398532146986376,57.11397321825613,Low value (bottom 20%)
250019,MEMORIAL HOSPITAL AT GULFPORT,MS,South,Government - Local,Acute Care Hospitals,3.0,15.6,0.6576,1.16,66.25571809179108,57.11699835499232,Low value (bottom 20%)
370097,SOUTHWESTERN MEDICAL CENTER,OK,South,Proprietary,Acute Care Hospitals,2.0,15.3,1.179,1.02,58.28381842859297,57.14099845940488,Low value (bottom 20%)
450389,UT HEALTH EAST TEXAS ATHENS HOSPITAL,TX,South,Proprietary,Acute Care Hospitals,3.0,16.2,1.036,1.08,61.72196249937164,57.14996527719596,Low value (bottom 20%)
320085,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,NM,West,Proprietary,Acute Care Hospitals,2.0,16.0,0.3318,1.04,59.47242748705575,57.185026429861296,Low value (bottom 20%)
140206,HUMBOLDT PARK HEALTH,IL,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.5,0.64,1.05,60.11612124868045,57.253448808267095,Low value (bottom 20%)
140181,SOUTH SHORE HOSPITAL,IL,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,,16.7,1.154,1.02,58.40370984768512,57.25853906635796,Low value (bottom 20%)
